SalesID,Date,ProductID,CustomerID,RegionID,Quantity,UnitPrice,Discount,Amount
2001,2024-08-09,P011,C008,W,1,2499,0.05,2374.05
2002,2025-05-19,P010,C009,N,3,18999,0.08,52437.24
2003,2025-04-10,P008,C005,E,4,1899,0,7596
2004,2025-05-23,P001,C015,E,4,24999,0,99996
2005,2024-02-27,P010,C004,S,3,18999,0,56997
2006,2025-03-09,P012,C002,N,1,2199,0.12,1935.12
2007,2024-06-16,P004,C009,N,2,5999,0,11998
2008,2025-10-15,P011,C002,N,2,2499,0.12,4398.24
2009,2024-05-25,P004,C001,N,1,5999,0,5999
2010,2024-12-01,P009,C003,S,3,1599,0.1,4317.3
2011,2025-06-21,P003,C002,N,3,3999,0,11997
2012,2025-11-18,P003,C013,N,5,3999,0,19995
2013,2025-08-22,P011,C009,N,1,2499,0.12,2199.12
2014,2024-04-27,P005,C013,N,4,2499,0.08,9196.32
2015,2025-04-03,P006,C001,N,4,1299,0,5196
2016,2025-08-21,P001,C013,N,1,24999,0.12,21999.12
2017,2024-09-04,P007,C001,N,3,799,0,2397
2018,2024-01-04,P004,C007,W,4,5999,0,23996
2019,2025-06-23,P004,C014,S,5,5999,0,29995
2020,2024-10-20,P011,C016,W,3,2499,0.1,6747.3
2021,2024-12-04,P009,C009,N,1,1599,0.05,1519.05
2022,2024-01-07,P001,C008,W,3,24999,0,74997
2023,2024-08-12,P004,C012,W,5,5999,0.12,26395.6
2024,2024-09-03,P008,C012,W,3,1899,0.08,5241.24
2025,2025-11-08,P001,C014,S,3,24999,0.08,68997.24
2026,2025-09-23,P005,C009,N,1,2499,0.05,2374.05
2027,2024-02-04,P011,C014,S,3,2499,0.12,6597.36
2028,2025-11-01,P003,C002,N,5,3999,0.05,18995.25
2029,2025-03-20,P003,C012,W,3,3999,0.1,10797.3
2030,2025-03-10,P009,C016,W,1,1599,0,1599
2031,2025-11-03,P010,C002,N,3,18999,0,56997
2032,2025-03-07,P005,C004,S,5,2499,0.08,11495.4
2033,2024-08-02,P012,C007,W,4,2199,0,8796
2034,2025-10-12,P004,C011,E,1,5999,0.1,5399.1
2035,2025-03-02,P006,C008,W,4,1299,0,5196
2036,2024-03-10,P012,C012,W,1,2199,0.12,1935.12
2037,2024-08-27,P008,C001,N,5,1899,0,9495
2038,2024-01-23,P005,C002,N,1,2499,0.05,2374.05
2039,2024-07-28,P010,C006,E,2,18999,0.12,33438.24
2040,2025-09-23,P011,C001,N,5,2499,0.05,11870.25
2041,2024-01-12,P001,C012,W,5,24999,0,124995
2042,2024-11-26,P006,C004,S,3,1299,0.05,3702.15
